Entity,Year,WorkingHours,GeneralHappiness
Germany,1975,1800.189458,79.186913
Germany,1976,1812.652836,80.792381
Germany,1977,1795.179976,82.775726
Germany,1978,1776.250027,83.561775
Germany,1979,1764.396622,86.640076
Germany,1980,1745.067788,85.203575
Germany,1981,1723.540959,76.693222
Germany,1982,1712.378903,83.699417
Germany,1983,1699.522618,80.269333
Germany,1985,1664.940182,82.47197
Germany,1986,1646.004552,85.770439
Germany,1987,1623.879742,85.192528
Germany,1988,1618.697359,85.304771
Germany,1989,1595.276989,88.682724
Germany,1990,1572.255236,88.522186
Germany,1991,1553.518948,84.899994
Germany,1992,1564.715409,84.849998
Germany,1994,1537.250648,84.150002
Germany,1996,1510.495404,80.046295
Germany,1997,1499.644241,71.407036
Germany,1999,1478.722042,81.717453
Germany,2000,1452.012927,75.939133
Germany,2001,1441.910121,82.316925
Germany,2002,1430.860459,79.845215
Germany,2003,1424.744898,73.018333
Germany,2005,1411.280069,81.052109
Germany,2006,1424.675161,81.51432
Germany,2007,1424.352139,84.544395
Germany,2008,1418.396319,83.396172
Germany,2009,1372.713489,84.231277
Germany,2011,1392.813334,87.890793
Germany,2012,1375.026747,89.07325
Germany,2013,1362.697606,89.052521
Germany,2015,1368.106991,91.683266
Germany,2016,1358.586553,90.324211
Greece,1983,2185.69586,64.049995
Greece,1984,2112.706016,63.91853
Greece,1985,2130.703512,61.816334
Greece,1986,2118.705181,67.349998
Greece,1987,2075.711164,60.776127
Greece,1988,2063.712834,61.299999
Greece,1989,2106.706851,66.81694
Greece,1990,2083.710051,63.550003
Greece,1991,2114.705738,53.550003
Greece,1992,2142.701842,54.97303
Greece,1993,2163.698921,49.677319
Greece,1994,2128.70379,52.472626
Greece,1996,2109.400483,72.980766
Greece,1997,2107.944768,63.069309
Greece,1998,2108.434425,55.256958
Greece,1999,2104.852409,62.434757
Greece,2000,2107.638443,59.622478
Greece,2001,2101.130446,58.592369
Greece,2002,2093.215148,60.18343
Greece,2003,2091.478708,63.213264
Greece,2005,2136.239017,64.682327
Greece,2006,2125.336374,68.334984
Greece,2007,2110.988578,67.400002
Greece,2008,2106.260038,59.082531
Greece,2009,2081.211638,43.543545
Greece,2011,2037.700316,41.204842
Greece,2012,2055.374133,32.385231
Greece,2013,2059.219903,37.280869
Greece,2014,2020.881621,42.465202
Greece,2015,2031.140442,41.20134
Greece,2016,2030.090399,37.958538
Hungary,2005,1986.903807,54.647278
Hungary,2006,1983.476774,52.006668
Hungary,2007,1978.635388,51.471786
Hungary,2008,1981.753724,46.530567
Hungary,2009,1963.060066,43.625496
Hungary,2011,1769.82859,49.608852
Hungary,2012,1750.01157,44.774143
Hungary,2013,1744.577132,47.79435
Hungary,2014,1751.625788,62.741436
Hungary,2015,1748.921227,65.929535
Hungary,2016,1759.42047,63.843609
Iceland,2011,1878.0,96.502998
Iceland,2012,1853.0,97.403183
Iceland,2013,1846.0,97.825829
Iceland,2014,1864.0,97.602196
Ireland,1973,2284.951373,92.0
Ireland,1975,2238.629486,88.650002
Ireland,1976,2233.133669,87.556198
Ireland,1977,2203.560939,88.385796
Ireland,1978,2183.933021,88.706467
Ireland,1979,2162.211458,83.466934
Ireland,1980,2122.955622,86.21032
Ireland,1981,2091.550953,82.089546
Ireland,1982,2084.223197,85.969215
Ireland,1983,2074.01668,81.848373
Ireland,1985,2063.025046,81.20993
Ireland,1986,2097.570182,81.336731
Ireland,1987,2076.895441,76.510918
Ireland,1988,2085.27002,74.146217
Ireland,1989,2092.597776,82.307854
Ireland,1990,2081.08273,86.686684
Ireland,1991,2046.014183,86.75679
Ireland,1992,1997.598652,84.757141
Ireland,1994,1971.166389,85.993538
Ireland,1996,1954.25666,90.350052
Ireland,1997,1954.41631,91.117767
Ireland,1998,1953.194044,89.031769
Ireland,1999,1941.882875,87.252213
