Entity,Year,MentalHealthDALY
Estonia,2021,2.505724615089643e-06
Estonia,2021,0.0035534507398761
Canada,2018,4.627726345105927
Canada,2018,1.6495728074641003e-05
Canada,2018,0.0126998750678974
Sudan,2021,0.0046203411437216
Sudan,2021,1.8684567236297062e-08
Sudan,2021,1.0641277480721048e-05
Mali,2019,0.001780538485941
Mali,2019,8.963885001360181e-09
Mali,2019,7.94585188111093e-06
Saudi Arabia,2018,0.1884782846480656
Saudi Arabia,2018,1.4301921809758407e-06
Saudi Arabia,2018,0.0005325556181434
Republic of Korea,2019,0.2279295433567226
Republic of Korea,2019,7.717851868343043e-07
Republic of Korea,2019,0.0004395887423653
Myanmar,2018,0.1442019556571208
Myanmar,2018,3.3531877006191297e-07
Myanmar,2018,0.0002636278729017
Sierra Leone,2019,0.0009108191352145
Sierra Leone,2019,1.2556674210805024e-08
Sierra Leone,2019,1.0865754267689983e-05
Sri Lanka,2019,0.1021538135979646
Sri Lanka,2019,7.61262361583121e-07
Sri Lanka,2019,0.0004641864786605
Lebanon,2021,0.0018739384884567
Lebanon,2021,3.769755889265421e-08
Lebanon,2021,3.3823008233028515e-05
Marshall Islands,2018,3.121709415440703e-05
Marshall Islands,2018,7.340488548796805e-08
Marshall Islands,2018,5.595487756101182e-05
Mauritania,2021,0.0008455289007696
Mauritania,2021,3.373015547293545e-08
Mauritania,2021,1.923302563408234e-05
Australasia,2019,4.061595818950619
Australasia,2019,2.0281898852211084e-05
Australasia,2019,0.0135698086117861
Madagascar,2019,0.0010998266984603
Madagascar,2019,6.260837882087721e-09
Madagascar,2019,4.026533966432093e-06
Armenia,2021,0.0377105542083384
Armenia,2021,1.2061766527485808e-06
Armenia,2021,0.0012589994195625
Russian Federation,2019,7.575428610557176
Russian Federation,2019,4.286997510881951e-06
Russian Federation,2019,0.0051908135243966
France,2021,13.042600134021406
France,2021,2.0292633198306533e-05
France,2021,0.0196454652051135
Benin,2018,0.0010208489651186
Benin,2018,1.1111591052441888e-08
Benin,2018,8.317181131530065e-06
Slovakia,2018,0.0005868239620501
Slovakia,2018,1.0714809490015458e-08
Slovakia,2018,1.0795626237840548e-05
Netherlands,2018,6.085659771769611
Netherlands,2018,4.006147840627269e-05
Netherlands,2018,0.0356120138395302
Belize,2018,0.0001091685819187
Belize,2018,5.686010638849407e-08
Belize,2018,2.701873813127905e-05
Libya,2018,0.004802634661856
Libya,2018,1.3070023677984426e-07
Libya,2018,7.117171816682195e-05
Uruguay,2021,0.048263066535928
Uruguay,2021,1.191018467997848e-06
Uruguay,2021,0.0014171601878155
Djibouti,2018,0.000214805216124
Djibouti,2018,2.9308127519756444e-08
